category,Sub-category,total_complaints,avg_resolution_time_minutes,avg_impacted_revenue,aggregated_raw_feedback
Returns,"Technician Visit",12,0,6946.42,"Kosish kar rahe he |  | Tv farzi sab   |  |  | Recent times Shopzilla sending the non quality PRODUCTS and when  services for return or replacement is not taking the proper attention to complete the order safely to the customer. | Customer support and product not good I am not happy  | everyone make fool from Shopzilla  | With all effort my issue is still unresolved and defective item is still at my door unreturned | Delete in Shopzilla account  | I have ordered this mattresses the size has came wrong i have trusted on Shopzilla and buyed this produced i am facing a lot of issue and till now the Shopzilla is not taking my product back even i didnt get my refund back it 10 days now  | Don't trying to make fulis peppers"
Cancellation,"Not Needed",31,0,6364.71,"Poor seevices  |  | Not | Worst experience and as a Shopzilla plus member I'm really had a worst experience with this product  | Very bad supporting staff | I ever face worst Experience from Shopzilla  |  |  |  | Customer support not able to solve any concern. | Product achcha nahin lag raha hai | You should close your Shopzilla company |  |  | Shopzilla wrost deliver service. My 8 product not deliver from Shopzilla. SuperBuy very good in delivery service  |  | Pathetic Service  |  |  | Agent disconnected call on enquiring about escalation process | Shopzilla are now officially pioneers of bad customer service. Please improve | Very bad service  | Very bad service Shopzilla courier boy canceled the order without calling customer care no help And the order was after delivery since 4 days |  | Give option for faster delivery  |  | Order not received  |  |  | Very poor service | "
"Order Related",Delayed,90,0,5524.74,"Your process sucks deliver my order you idiots  |  | Very bad behaviour  | Allot otp for all products once customer received product then only give delivered message and also ask the feedback from the customer about the delivery executive..now a days their behaviours are very worst and not responding  |  |  |  |  | Teen char baar se mere   parcel   to miss     is baar bhi miss   he aur nahi aaya junagadh hub pe | Worst experience  | no |  |  | , customer service in care service not use a professional language abusing use your language and not proper working and Shopzilla totally fraud and theft and 420 and Chief total focus on fraud | Stop talking like a robot to your customers and actually help them!!! |  | Not solved my issue  |  |  | When the fault is with Shopzilla delivery issue then you are suppose to compensate the customer because I have not gone to work because delivery was scheduled and you guys didn't call or email that it is not getting delivery It's the worst service ever and I am posting the cal"
"Order Related","Order status enquiry",68,0,3792.65,"Issue not resolved pathetic service |  | Bad service  | Pls improve your courier person's behaviour and way of talking and support to customers  |  | Ok | I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly | Not good  |  |  | Chutiya log  |  |  | No any response my orderVery bad costumer service | Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug |  |  |  | Its so broken, hard to write anything constructive... | Once order placed then shows exact status of his order  |  | Product less | Good help  | not available pin 127021 on grocery  |  | Very poor knowledge and talking sence was about zero completely frustrated to talk to her nonsense  |  | Product Delivery is too late ?? |  |  |  |  |  |  | Urgently required delivery please  |  | Add gift option and inform u r agents not keep call on hold and add notes |  | This is disgusting....worst....not solve my problem....and cu"
Returns,"Service Centres Related",18,0,3220.06,"it's very bad experience with Shopzilla i was never expected this.  | Shopzilla only make me fool. you people looted my hard core money. Shopzilla is fraud.......   |  |  | ?? no | ????? h Shopzilla  |  |  |  |  |  | No any solution and no replace my boat airbuds 161Very bad service boat and Shopzilla  |  |  |  | Most of the service centres were closed, as per Google no updated information related closure of service centers.Kindly do the needful as today it was very hassle for me to find the service centre  |  | "
"Refund Related","Refund Enquiry",24,0,3146,"Refund not received  |  |  | They put my call on hold but after sometime they disconnected without any information. | Where my refund amount | Not resolve my issue till now  |  |  | Very bad service |  |  |  | Worst  seller recently experience from few recent orders  | Customer  executive was giving wrong information to me |  | Contacted customer support lot of times but till date refund not credited to my account | My refund ammount was transferred in my Shopzilla wallet without my confirmation  |  |  | i'll file a case against all of you | Poor performance in last six month of Shopzilla |  | Not proper information and very time teking  | "
Returns,"Return request",28,0,2779.96,"poor fraud behaviour products fauty and return as promised purchase time |  |  |  |  | Kindly, work on return pickup..there is a lot postpone issue again & again I got fed-up with this repeated process |  |  |  |  |  | Not | I'm not good  | Worst service |  |  |  | poor customer service |  |  | Iam happy ?????? | Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels . | The   came to exchange the product as instead of black dress white was given. However the replacement brought to me was again white and not black | Very good response customer Care service very good |  |  |  | Want to return the product and receive the right product which I have ordered "
"Refund Related","Refund Related Issues",20,0,2406.9," | My order is in cancellation process from more than 20+ I cancelled my order on10th of July it didnt cancelled yet and raised more than 10 tickets but couldn't find the resolution. Try to provide solution not the extended dates.  | Very bad agent |  |  |  | Questions no solve |  |  |  | Now the world is changing fast with new technology, I think that Shopzilla would have to implement this change to resolve issue of customer. It's been more than a month still your team is resolve my issue. Unhappy with the customer support and service. | Did not find apropiate answer |  |  |  | Refund process is not good team Shopzilla |  | 10 days order not supply &no payment refund |  | "
Feedback,"UnProfessional Behaviour",25,0,1982.08," |  | Ghatiya |  | Very bad  | Bad behaviour by  courier surface boy..Im very angry with his behaviour when he was came for delivery |  |  | Ur providing very worst service  | Return policy very bed  |  |  | Please remove your Shopzilla vendor from your service  | Very poor delivery teem  |  |  |  |  | Bad service and call disconnect time loss please Shopzilla aise service providers socha nhi th  |  |  | Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also |  | Problem is not sloved2 month finish already | no"
"Order Related",Installation/demo,45,0,1928.11,"Very bad |  |   or ka product muje bhej diya |  | Bad service  customer relative not problem resolve |  | My issue not resolve bye Shopzilla team.  |  | Idiotic customer care executives, no solution from your end since April 28 th, call disconnected from the executive end | Ghatiya log h Shopzilla vale | Please resolve my issue asap | One side nit warning  | Noise watch not restart | Not resolve my problem |  |  | Jadav parth |  | One Assist Protection plan's Invoice not available on Shopzilla. | Very disappointed support from Shopzilla that product not return/replacement even after having having replacement policy and within the time frame.Asking to contact IFB for resolving. As I a Shopzilla customer and product is within policy period there is no support from Shopzilla.  |  | Very very poor and very very bad shame full  |  |  | Service centre no support  |  |  |  |  | Make user friendly  | Try to sell authorized products, as duplicate product had seller from your platform | Samal kushwaha  |  | Sir my watc"
Returns,Wrong,16,0,1486.62,"change my product | It's pathetic. The way a sime query is handled. |  | Don\u2019t deliver wrong products Deliver the products what customer ordered  | Very poor service  |  | Koi halp nhi ki |  |  | Gud | Dont buy any prodect Shopzilla |  |  | Very bed experience from Shopzilla |  | "
Returns,"Fraudulent User",16,0,1274.94,"Call disconnect and not provide information proper | Very poor service call disconnect in middle and the service is very poor | You guys are ethical scammers. | There\u2019s is no help from support system i tell that I don\u2019t receive total grocery product but no response  | My problem not sholw | 5 out of 10 items missing  | 5 out of 10 items missing | Worst |  | my return issue has taken more than 7 days and still pending. very disappointing.  | Aplog apan system may sudhar laya nahyto bohat jald apna dukan band    |  |  |   bad costomer serviceReceive damage produt3 time return requestBut not accept returnApproval  bad experience Shopzilla.Shopzilla cheater companyI am file case custmor courtAgainst Shopzilla.... |  | "
Returns,"Reverse Pickup Enquiry",209,0,1056.63," |  | Reten | Wrong Product received. | You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund. |  | No |  | I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ?? | Awful customer support ever | After delivery of the product take re"
"Order Related","Seller Cancelled Order",49,0,47.39,"Very poor  |  |  | Customer care executive is very iresposible first of all take call and don't answer the call for 10 minutes and playing some irritating songs at the time of call after answer the call simpy ask customer is not audible am I mad who on line before 15 minutes for listen this am not audible I want to raise a complaint against the executive give me her details  |  |  | Shopzilla your costumer support very bad,,,,,they not capable to resolve my concern,,,,,, please improve your service,,,,and don't fool to people.........I ordered some products on 27 July 2023 ,,,,,but after 4-5 days Shopzilla sent me a message,,,your order cancelled,,,,,,,why Shopzilla sales like this I irritating so much,,,,,,after that I uninstalled Shopzilla app,,,,and shift to SuperBuy ,,,,, | It was worst customer care ever | You are a cheater company you cancelled my order without my consent and even i have complained against you  | Fake seller |  |  |  |  | Worst Shopzilla customer service. Shopzilla shouldn't cancel orde"
"Product Queries","Product Specific Information",40,0,0," |  | Very bad | No information given  | They are not completely resolving the issue  | You need to stop salling products those have no return policy  |  |  | Good behaviour |  | Very bad service I never dreamed |  |  |  |  |  | Not satisfied  | I couldn't avail bank discount offer even after its showing on the website product's page. |  | Refund related policy  | Not satisfied  | Please try using SuperBuy customer support.  Shopzilla can learn an lot from SuperBuy in this area. | My problem not solved  |  | Mivi policy is not transparent for customer | Problem not resolved | Very bad service my product is cancelled by seller without my permission.And customer care tells my product will be delivered.They tells wrong information to me | Amount deducted but order still pending  | My problem are not solved but last time customer executive say please hold the call , but not fulfill my complain  | Very poor |  | I am a plus member. This time very bitter experience from Shopzilla. The delivered product didn't fulfi"
"Shopzilla Related","General Enquiry",19,0,0,"Call disconnected  |  |  | No  |  | Bast |  |  | Nothing  |  |  |  |  |  |  |  |  | Thanks | Not good service i am very disturbed  Many time complain not work on this Costomer support is too bad"
